"","X.1","X","no","NO","SPEAKER","VOWEL","VOWEL2","WORD","F1","F2","F3","LOCATION","TOKEN","AGE","GENDER","ETHNICITY","F1n","F2n","AgeGrp","PPE","FPE","TRANSCRIPTION","PRE_SOUND","VOWEL_TRANS","FOLL_SOUND","f1outlier_2","f2outlier_2","OUTLIER_2","F1labov","F2labov","F1lobanov","F2lobanov","F1nearey","F2nearey","F1bark","F2bark","F1wattfabricius","F2wattfabricius","F1labovstandard","F2labovstandard"
"1",1,1,2,2,"AP W24M","DRESS","DRESS","bed",521,1640,2509,"WA",1,24,"M","Washingtonian",606.409,1908.849,"Younger","lab","vds","B EH1 D","B","EH1","D",0,0,0,588.468,1852.375,-0.036,0.212,1.017,1.089,9.422,2.839,1.17,1.371,602.125,1895.365
"2",2,2,3,3,"AP W24M","DRESS","DRESS.rhotic","berry",486,1749,2250,"WA",1,24,"M","Washingtonian",565.671,2035.718,"Younger","lab","liq","B EH1 R IY0","B","EH1","R",0,0,0,548.935,1975.49,-0.347,0.501,0.948,1.161,9.001,1.686,1.091,1.462,561.675,2021.338
"3",3,3,4,4,"AP W24M","DRESS","DRESS","bet",584,1544,2467,"WA",1,24,"M","Washingtonian",679.737,1797.112,"Younger","lab","vls","B EH1 T","B","EH1","T",0,0,0,659.626,1743.943,0.524,-0.042,1.14,1.025,8.786,3.126,1.311,1.29,674.935,1784.417
"4",4,4,5,5,"AP W24M","DRESS","DRESS","bet 2",575,1639,2368,"WA",1,24,"M","Washingtonian",669.261,1907.685,"Younger","lab","vls","B EH1 T","B","EH1","T",0,0,0,649.461,1851.245,0.444,0.21,1.122,1.088,8.588,2.46,1.291,1.37,664.534,1894.21
"5",5,5,6,6,"AP W24M","DRESS","DRESS","breath",551,1578,2329,"WA",1,24,"M","Washingtonian",641.327,1836.686,"Younger","liq","vlf","B R EH1 TH","R","EH1","TH",0,0,0,622.353,1782.346,0.231,0.048,1.075,1.047,8.675,2.6,1.237,1.319,636.796,1823.711
"6",6,6,7,7,"AP W24M","DRESS","DRESS","dead",473,1778,2546,"WA",1,24,"M","Washingtonian",550.54,2069.472,"Younger","cor","vds","D EH1 D","D","EH1","D",0,0,0,534.252,2008.245,-0.462,0.578,0.923,1.18,9.936,2.396,1.062,1.486,546.651,2054.853
"7",7,7,8,8,"AP W24M","DRESS","DRESS","deck",520,1735,2426,"WA",1,24,"M","Washingtonian",605.245,2019.423,"Younger","cor","vls","D EH1 K","D","EH1","K",0,0,0,587.338,1959.677,-0.044,0.464,1.015,1.152,9.208,2.24,1.167,1.45,600.969,2005.158
"8",8,8,9,9,"AP W24M","DRESS","DRESS.rhotic","ferry",492,1677,2342,"WA",1,24,"M","Washingtonian",572.655,1951.915,"Younger","lab","liq","F EH1 R IY0","F","EH1","R",0,0,0,555.712,1894.166,-0.293,0.31,0.96,1.113,9.216,2.233,1.104,1.402,568.61,1938.127
"9",9,9,10,10,"AP W24M","DRESS","DRESS","get",406,1935,2529,"WA",1,24,"M","Washingtonian",472.557,2252.209,"Younger","vel","vls","G EH1 T","G","EH1","T",0,0,0,458.576,2185.576,-1.058,0.994,0.792,1.284,10.503,1.785,0.911,1.617,469.218,2236.3
"10",10,10,11,11,"AP W24M","DRESS","DRESS","left",592,1524,2543,"WA",1,24,"M","Washingtonian",689.048,1773.833,"Younger","liq","vlf","L EH1 F T","L","EH1","F",0,0,0,668.662,1721.353,0.595,-0.095,1.155,1.012,8.922,3.414,1.329,1.274,684.181,1761.303
"11",11,11,12,12,"AP W24M","DRESS","DRESS","mess",543,1637,2351,"WA",1,24,"M","Washingtonian",632.015,1905.358,"Younger","lab","vlf","M EH1 S","M","EH1","S",0,0,0,613.317,1848.986,0.16,0.204,1.06,1.087,8.805,2.42,1.219,1.368,627.551,1891.898
"12",12,12,13,13,"AP W24M","DRESS","DRESS","neck",558,1789,2384,"WA",1,24,"M","Washingtonian",649.474,2082.275,"Younger","cor","vls","N EH1 K","N","EH1","K",0,0,0,630.259,2020.67,0.293,0.607,1.089,1.188,8.772,1.919,1.253,1.495,644.886,2067.566
